"SPP","Genus","Species","other"
"Ulmus americana","Ulmus","americana",NA
"Sassafras albidum","Sassafras","albidum",NA
"Acer rubrum","Acer","rubrum",NA
"Acer x freemanii","Acer","x","freemanii"
"Quercus rubra","Quercus","rubra",NA
"Tilia americana","Tilia","americana",NA
"Thuja spp.","Thuja","spp.",NA
"Fraxinus pennsylvanica","Fraxinus","pennsylvanica",NA
"Platanus occidentalis","Platanus","occidentalis",NA
"Cercis canadensis","Cercis","canadensis",NA
"Acer platanoides","Acer","platanoides",NA
"Fraxinus americana","Fraxinus","americana",NA
"Liriodendron tulipifera","Liriodendron","tulipifera",NA
"Acer tataricum ginnala","Acer","tataricum","ginnala"
"Quercus palustris","Quercus","palustris",NA
"Morus alba","Morus","alba",NA
"Platanus x acerifolia","Platanus","x","acerifolia"
"Quercus acutissima","Quercus","acutissima",NA
"Acer palmatum","Acer","palmatum",NA
"Gleditsia triacanthos inermis","Gleditsia","triacanthos","inermis"
"Tilia cordata","Tilia","cordata",NA
"Tilia tomentosa","Tilia","tomentosa",NA
"Acer saccharinum","Acer","saccharinum",NA
"Ulmus pumila","Ulmus","pumila",NA
"Quercus phellos","Quercus","phellos",NA
"Acer saccharum","Acer","saccharum",NA
"Cladrastis kentukea","Cladrastis","kentukea",NA
"Prunus serrulata","Prunus","serrulata",NA
"Tsuga candensis","Tsuga","candensis",NA
"Quercus alba","Quercus","alba",NA
"Prunus spp.","Prunus","spp.",NA
"Pinus strobus","Pinus","strobus",NA
"Pyrus calleryana","Pyrus","calleryana",NA
"Liquidambar styraciflua","Liquidambar","styraciflua",NA
"Picea abies","Picea","abies",NA
"Crataegus viridis","Crataegus","viridis",NA
"Diospyros virginiana","Diospyros","virginiana",NA
"Picea pungens","Picea","pungens",NA
"Juniperus spp.","Juniperus","spp.",NA
"Pinus nigra","Pinus","nigra",NA
"Poncirus trifoliata","Poncirus","trifoliata",NA
"Carya cordiformis","Carya","cordiformis",NA
"Ailanthus altissima","Ailanthus","altissima",NA
"Nyssa sylvatica","Nyssa","sylvatica",NA
"Thuja occidentalis","Thuja","occidentalis",NA
"Ulmus rubra","Ulmus","rubra",NA
"Malus spp.","Malus","spp.",NA
"Morus rubra","Morus","rubra",NA
"Zelkova serrata","Zelkova","serrata",NA
"Carpinus caroliniana","Carpinus","caroliniana",NA
"Ficus carica","Ficus","carica",NA
"Acer negundo","Acer","negundo",NA
"Pinus mugo","Pinus","mugo",NA
"Magnolia x soulangiana","Magnolia","x","soulangiana"
"Lagerstroemia indica","Lagerstroemia","indica",NA
"Carya glabra","Carya","glabra",NA
"Aesculus x carnea","Aesculus","x","carnea"
"Taxus spp.","Taxus","spp.",NA
"Metasequoia glyptostroboides","Metasequoia","glyptostroboides",NA
"Quercus bicolor","Quercus","bicolor",NA
"Chamaecyparis pisifera","Chamaecyparis","pisifera",NA
"Cornus florida","Cornus","florida",NA
"Syringa vulgaris","Syringa","vulgaris",NA
"Juglans nigra","Juglans","nigra",NA
"Celtis occidentalis","Celtis","occidentalis",NA
"Acer pseudoplatanus","Acer","pseudoplatanus",NA
"Cornus kousa","Cornus","kousa",NA
"Prunus serotina","Prunus","serotina",NA
"Ulmus x","Ulmus","x",NA
"Juniperus virginiana","Juniperus","virginiana",NA
"Prunus x yedoensis","Prunus","x","yedoensis"
"Juniperus chinensis","Juniperus","chinensis",NA
"Styphnolobium japonicum","Styphnolobium","japonicum",NA
"Platycladus orientalis","Platycladus","orientalis",NA
"Salix discolor","Salix","discolor",NA
"Fraxinus excelsior","Fraxinus","excelsior",NA
"Malus pumila","Malus","pumila",NA
"Ulmus parvifolia","Ulmus","parvifolia",NA
"X Cupressocyparis leylandii","X","Cupressocyparis","leylandii"
"Syringa reticulata","Syringa","reticulata",NA
